Deporte;Año;Nombre;País;Posición;Tiempo (Minutos)
BOBSLEIGH (DOBLES MASCULINO);2022;Magis/Friedrich;Alemania;1;3:56.89
BOBSLEIGH (DOBLES MASCULINO);2022;Bauer/Lochner;Alemania;2;3:57.38
BOBSLEIGH (DOBLES MASCULINO);2022;Haffer/Sommer;Alemania;3;3:58.58
BOBSLEIGH (DOBLES MASCULINO);2022;Vogt/Mikel;Suiza;4;3:58.83
BOBSLEIGH (DOBLES MASCULINO);2022;Sammer/Maier;Austria;5;3:59.14
BOBSLEIGH (DOBLES MASCULINO);2022;Vain/Rinaldi;Monaco;6;3:59.14
BOBSLEIGH (DOBLES MASCULINO);2022;Evelyn/Spring;Canadá;7;3:59.26
BOBSLEIGH (DOBLES MASCULINO);2022;Laptev/Gaitukkevich;Rusia;8;3:59.31
BOBSLEIGH (DOBLES MASCULINO);2022;Miknis/Kibermanis;Letonia;9;3:59.34
BOBSLEIGH (DOBLES MASCULINO);2022;Kripps/Stones;Canadá;10;3:59.40
BOBSLEIGH (DOBLES MASCULINO);2018;Kripps/Kopacz;Canadá;1;3:16.86
BOBSLEIGH (DOBLES MASCULINO);2018;Margios/Fiedrich;Alemania;2;3:16.86
BOBSLEIGH (DOBLES MASCULINO);2018;Melbardis/Strenga;Letonia;3;3:16.91
BOBSLEIGH (DOBLES MASCULINO);2018;Poser/Walther;Alemania;4;3:17.06
BOBSLEIGH (DOBLES MASCULINO);2018;Lochner/Weber;Alemania;5;3:17.14
BOBSLEIGH (DOBLES MASCULINO);2018;Won/Seo;Korea del Sur;6;3:17.40
BOBSLEIGH (DOBLES MASCULINO);2018;Poloniato/Lumsden;Polonia;7;3:17.74
BOBSLEIGH (DOBLES MASCULINO);2018;Sammer/Maier;Austria;8;3:17.76
BOBSLEIGH (DOBLES MASCULINO);2018;Kibermanis/Miknis;Letonia;9;3:17.80
BOBSLEIGH (DOBLES MASCULINO);2018;Brown/Spring;Canadá;10;3:18.24
BOBSLEIGH (DOBLES MASCULINO);2014;Baumann/Hefti;Suiza;1;3:46.05
BOBSLEIGH (DOBLES MASCULINO);2014;Holcomb/Langton;EEUU;2;3:46.27
BOBSLEIGH (DOBLES MASCULINO);2014;Dreiskens/Melbardis;Letonia;3;3:46.48
